text,true_label,predicted_label,predicted_risk_score,risk_level,error_type,reasons,indicators
"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",0,1,25,MEDIUM,false_positive,Banking-related language detected. | Financial or reward language detected.,banking | financial
Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,1,0,20,LOW,false_negative,Link or verification action detected.,link
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,1,0,20,LOW,false_negative,Link or verification action detected.,link
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow",1,0,20,LOW,false_negative,Link or verification action detected.,link
"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780",1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
"Ela kano.,il download, come wen ur free..",0,1,30,MEDIUM,false_positive,Download or install instruction detected.,download
	YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,1,0,20,LOW,false_negative,Financial or reward language detected.,financial
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,1,0,10,LOW,false_negative,Message pattern is inconsistent with ordinary conversation.,
